          Pi       NnzSnp      SigmaSq            S       ResVar       GenVar     SigmaSqG          hsq 
  0.00869952        24318  0.000271627    -0.150365      6.59097      1.58571      2.43201     0.206887 









  0.00533315        15029  9.54225e-05    -0.325332      7.16555     0.655502     0.665756    0.0855232 









  0.00540519        15045  8.47329e-05    -0.332263      7.16859      0.60354     0.602289    0.0787438 






   0.0200778        55747  3.29731e-05    -0.007561      7.08771     0.672503     0.671396    0.0877413 









   0.0199082        55491   3.2893e-05   -0.0424058      7.09447     0.682966     0.685251    0.0891064 









   0.0203242        56699  3.20924e-05    -0.045099      7.12285     0.690375     0.680729    0.0900731 









   0.0201031        55919  3.15536e-05   -0.0200481      7.13339     0.654384     0.650039    0.0853774 









    0.020161        55872   3.1839e-05   -0.0285709      7.08506     0.653189     0.664776    0.0852214 









    0.019965        56181  3.18702e-05   -0.0329917      7.17484      0.66768     0.668995    0.0871121 









   0.0208376        58158  3.16541e-05  -0.00151542      7.13317     0.677344     0.671879     0.088373 









   0.0201193        56478  3.23926e-05  -0.00681276      7.11938     0.665497     0.666685    0.0868273 









   0.0201565        56270  3.35461e-05   -0.0165529      7.10527     0.680416     0.693314    0.0887737 









    0.019926        56067  3.34393e-05   -0.0378706      7.08709     0.700517     0.705543    0.0913962 









   0.0195481        54825  3.33476e-05   -0.0352629       7.0766     0.687408     0.684589     0.089686 









    0.019081        53697  3.22806e-05   -0.0319886      7.14544     0.651939     0.639192    0.0850584 









   0.0188583        52331   3.2833e-05   -0.0287816      7.11526     0.644395     0.639143    0.0840741 









   0.0190716        53945  3.11993e-05   -0.0597731      7.11896     0.638081     0.638712    0.0832502 









   0.0191169        53599  3.15183e-05   -0.0553779      7.10317     0.646396     0.637519    0.0843352 









   0.0189945        53418  3.22741e-05   -0.0426654      7.08602     0.649992     0.644464    0.0848043 









   0.0193871        54365  3.10985e-05   -0.0476774      7.13408     0.653761     0.636362    0.0852961 









   0.0192247        53772  3.05485e-05   -0.0476329      7.15793     0.640419      0.61678    0.0835553 









   0.0199473        55871  3.04004e-05    -0.055233      7.13455     0.647981     0.641086     0.084542 









   0.0204582        57141  3.13694e-05   -0.0578433      7.07633     0.686314     0.681775    0.0895432 









   0.0199655        56019  3.04124e-05   -0.0631989      7.12362     0.646751     0.645103    0.0843815 









   0.0199481        56438  3.15272e-05   -0.0336793      7.12011     0.667392      0.66568    0.0870745 









   0.0203126        57018  3.04744e-05   -0.0342832      7.13304     0.643579     0.648459    0.0839676 









   0.0204566        57238    3.026e-05   -0.0445365      7.14464     0.644269     0.649907    0.0840576 









    0.021047        58867  3.05458e-05   -0.0369365      7.14051     0.672306     0.666681    0.0877156 









   0.0208189        57908  3.05848e-05   -0.0561439      7.12157     0.680197     0.675643    0.0887452 









   0.0211192        59386  3.15181e-05   -0.0291285      7.10221     0.688435     0.694346      0.08982 









    0.020912        58663  3.13119e-05  -0.00977912       7.1145     0.675144     0.667062    0.0880859 









   0.0208197        58129  3.03026e-05    0.0017851      7.10561      0.64978     0.642122    0.0847766 









   0.0206642        57680  3.04121e-05  -0.00128024      7.09754     0.647247     0.640799    0.0844462 









    0.020702        57651  3.04232e-05    0.0115422      7.13592     0.642386     0.634198     0.083812 









   0.0204951        57486  3.02221e-05    0.0134991      7.17441     0.631313       0.6295    0.0823673 









   0.0212167        59519   3.0856e-05    0.0255406      7.11843     0.652804     0.656522    0.0851712 









   0.0207726        58135  2.99658e-05    0.0583272      7.14295     0.623386     0.610344    0.0813331 









    0.020804        58322  3.04402e-05    0.0904388       7.1585     0.610119     0.606006    0.0796022 









   0.0207444        57581  3.05198e-05    0.0972545       7.1469     0.614827     0.602131    0.0802164 









    0.021567        60505  3.11131e-05     0.102241       7.1324      0.64139     0.640225    0.0836821 









   0.0215235        60176  3.08599e-05     0.100256      7.13404     0.639011     0.629214    0.0833716 









    0.022107        62026  2.94324e-05    0.0824394      7.13553     0.643388     0.628559    0.0839427 









   0.0220827        61873  2.98711e-05    0.0998415      7.12923      0.63012     0.627036    0.0822117 









   0.0220777        62034  2.91956e-05    0.0699957      7.12617     0.644437     0.625752    0.0840796 









   0.0219705        61451  2.95258e-05    0.0573503      7.11638      0.65042     0.637833    0.0848602 









   0.0227504        63599  2.92993e-05       0.0492      7.11184     0.657973     0.645135    0.0858456 









   0.0230337        64552  2.86359e-05    0.0439215      7.11322     0.654186     0.655559    0.0853515 









   0.0224883        62880  2.95578e-05    0.0509383      7.08505     0.654876     0.656439    0.0854415 









   0.0225091        62981  2.99354e-05    0.0442303      7.12615      0.66041     0.665092    0.0861636 









   0.0228664        64079  2.93915e-05    0.0475631      7.11748     0.667401     0.656656    0.0870757 









   0.0223501        62745  2.91582e-05    0.0370384      7.09178     0.654731     0.647097    0.0854226 









   0.0223179        62517  2.80481e-05    0.0354647       7.1056      0.63881     0.626923    0.0833455 









