          Pi       NnzSnp      SigmaSq            S       ResVar       GenVar     SigmaSqG          hsq 
  0.00876489        24580  0.000349058    -0.122048      7.13173      2.02552      2.94805     0.236729 









  0.00539352        15009  0.000121047    -0.279984       7.9642     0.746202     0.772043    0.0872111 









   0.0049558        13977  0.000104435    -0.300148      7.99061     0.649878     0.641248    0.0759533 






   0.0148441        41834  4.17661e-05   -0.0403628      8.03018     0.617231       0.6097    0.0721378 









   0.0144809        41212  4.40659e-05   -0.0109986      8.05138     0.632272     0.623124    0.0738958 









   0.0143656        40509  4.46756e-05   -0.0232981      8.02101     0.632328     0.625296    0.0739023 









   0.0145206        40790  4.34423e-05    -0.038178      8.04075       0.6196     0.622112    0.0724147 









   0.0147174        41323  4.33906e-05   -0.0276319      8.04315     0.628416      0.62163    0.0734451 









   0.0146409        40838  4.49485e-05   -0.0288615      8.04292     0.653463     0.642086    0.0763724 









   0.0150195        42000  4.64049e-05   -0.0248581      7.93694     0.676058     0.674948    0.0790131 









   0.0147812        41649  4.78341e-05   -0.0180823      8.00591       0.6788     0.681871    0.0793336 









   0.0145432        40748  4.75211e-05    -0.017857        7.945     0.680164      0.66268    0.0794931 









   0.0144103        40363  4.78587e-05  -0.00339332      7.95615     0.669012     0.658249    0.0781897 









   0.0144185        40273  4.59301e-05  -0.00858618      8.01114     0.643779     0.627741    0.0752406 









   0.0142568        40166  4.54611e-05   -0.0285261       8.0618     0.637692     0.630222    0.0745291 









   0.0142732        40221  4.55271e-05    0.0061021      8.00861     0.625259     0.618906    0.0730761 









    0.014243        40020  4.58819e-05  -0.00844347      8.00718     0.625694     0.624857    0.0731269 









   0.0141071        39720  4.57935e-05   -0.0230213       8.0241     0.629323      0.62624    0.0735511 









   0.0143845        40020  4.60328e-05   -0.0265883      7.99333     0.649723     0.639281    0.0759352 









   0.0145612        41035  4.65833e-05     -0.02584      7.98544     0.664725     0.652036    0.0776886 









   0.0143218        40191  4.49739e-05   -0.0368791      8.00541     0.643178     0.634027    0.0751703 









    0.014818        41764  4.42692e-05   -0.0697882      7.97193       0.6814     0.666716    0.0796374 









   0.0145411        40915  4.40237e-05   -0.0757931      8.01399     0.644508     0.649847    0.0753258 









   0.0145646        41124  4.19911e-05   -0.0684904      8.00643     0.633287     0.612285    0.0740143 









   0.0142995        40148  4.15905e-05   -0.0582138      8.00371     0.609283     0.594534     0.071209 









   0.0149989        42085  4.10815e-05   -0.0692516      7.99084     0.632458     0.619496    0.0739175 









   0.0151521        42646  4.12097e-05   -0.0568021      8.00073     0.635299      0.62305    0.0742495 









   0.0146687        41169  4.24672e-05   -0.0478213      7.97612     0.618975     0.611488    0.0723416 









   0.0143322        40258  4.48671e-05   -0.0552992      8.00808     0.645619       0.6388    0.0754557 









   0.0147101        41399  4.37347e-05   -0.0918598      7.99143     0.672493     0.655302    0.0785965 









   0.0147084        41486  4.42301e-05   -0.0977509      7.94623     0.668052      0.66889    0.0780775 









    0.014049        39519  4.32392e-05    -0.106203      7.96427     0.634971     0.628458    0.0742111 









    0.014195        39633  4.39508e-05    -0.116946      8.03065     0.653449     0.646733    0.0763708 









   0.0146309        41161  4.29299e-05     -0.11706       7.9735     0.659314     0.655828    0.0770562 









   0.0146818        41111  4.29239e-05    -0.128567      8.02471     0.662375     0.660443     0.077414 









